track_id,track_name,artists,main_artist,genre,popularity,popularity_level,is_hit,explicit,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,duration_ms,duration_min,music_profile
20jbSiX29FDX4oQxBXyUEi,hate that i made you love me,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False,0.89,0.75,0.45,0.04,0.11,,,116.0,,,Dançante e energética
20dAJsyno9ZoBLJtqgQnUI,Hooligan,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False,0.42,0.57,0.36,0.25,0.18,,,125.8,,,Equilibrada
68lbSrXDORS51pmyjZv712,SWIM,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False,0.9,0.71,0.64,0.12,0.2,,,127.0,,,Dançante e energética
4SjcIkVc4cvFgURD1EHxDM,Eu Me Apaixonei,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False,0.62,0.63,0.58,0.05,0.07,,,116.3,,,Equilibrada
3bmpXHVie1GTy37OkXJ7Vc,2.0,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False,0.52,0.67,0.75,0.04,0.19,,,102.4,,,Positiva
0HixceBFegrCY3GFBB7SlQ,Saudade do Carai,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False,0.75,0.55,0.63,0.17,0.17,,,103.8,,,Equilibrada
2rKkfc4VZ74FQDc1FF1Zo6,Body to Body,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False,0.63,0.75,0.44,0.05,0.15,,,107.1,,,Equilibrada
0b61A7v9agI08BG21jJPQ9,they don’t know ’bout us,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False,0.81,0.7,0.35,0.36,0.16,,,96.7,,,Dançante e energética
4B4Q7zfd0aHcuhQBfCRnH5,NORMAL,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False,0.83,0.53,0.4,0.08,0.19,,,126.6,,,Equilibrada
0KmrKOdScRDVYwWS8hkkdv,FYA,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False,0.53,0.61,0.84,0.27,0.1,,,93.5,,,Positiva
60a0Rd6pjrkxjPbaKzXjfq,In the End,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False,0.79,0.79,0.44,0.31,0.08,,,141.5,,,Dançante e energética
7MnT7msJZg3XBAS0OTfGrB,Tempo Perdido,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False,0.42,0.7,0.8,0.19,0.12,,,94.7,,,Positiva
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False,0.61,0.84,0.78,0.14,0.05,,,134.1,,,Positiva
70LcF31zb1H0PyJoS1Sx1r,Creep,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False,0.6,0.78,0.32,0.13,0.04,,,110.5,,,Equilibrada
4CeeEOM32jQcH3eN9Q2dGj,Smells Like Teen Spirit,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False,0.53,0.95,0.52,0.13,0.07,,,117.2,,,Equilibrada
7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False,0.43,0.63,0.43,0.39,0.13,,,137.4,,,Equilibrada
3nI0piSOxAik2RCpHGloB7,Só Os Loucos Sabem,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False,0.45,0.57,0.67,0.39,0.03,,,139.9,,,Equilibrada
2nLtzopw4rPReszdYBJU6h,Numb,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False,0.43,0.84,0.34,0.11,0.06,,,100.7,,,Equilibrada
6Qyc6fS4DsZjB2mRW9DsQs,Iris,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False,0.45,0.73,0.3,0.32,0.05,,,95.9,,,Equilibrada
1UvWx2hgpxlF7HPbwLSmIY,Anjos (Pra quem tem fé),Desconhecido,Desconhecido,Rock,50,Média,Não hit,False,0.61,0.6,0.76,0.01,0.06,,,128.4,,,Positiva
315VRtbac3csaASW7Rmd5K,Leniam Leniamagu,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False,0.55,0.61,0.81,0.36,0.15,,,121.2,,,Positiva
6PFKsEDgy2GS2zAzpN3XPX,All That I Feel,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False,0.67,0.59,0.72,0.36,0.15,,,117.4,,,Positiva
609Hs2suvdhJEXdGF3k3Ai,Don Dada,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False,0.62,0.86,0.76,0.1,0.19,,,93.2,,,Positiva
5jpPgLJpT9dTysQ3lMrTgb,Intro,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False,0.54,0.64,0.69,0.29,0.19,,,123.4,,,Equilibrada
7e6f9Fk2S7K3juxtfbD245,Outro from Ben,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False,0.58,0.69,0.8,0.11,0.08,,,94.2,,,Positiva
24yy8Bj0Q4IJe6nSknfdS2,Milky way,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False,0.53,0.91,0.76,0.26,0.2,,,141.7,,,Positiva
4hOrH49QTecnG4PziLWVG6,Lífið er ljúft (FMK),Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False,0.83,0.91,0.67,0.16,0.13,,,110.8,,,Dançante e energética
7dYvupcGyTOQIiMm3JQE8e,Mc Zensur Skit 2,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False,0.64,0.66,0.39,0.36,0.12,,,135.3,,,Equilibrada
3L5WgvTZ31I9nCcq7Mextr,Disco lights,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False,0.68,0.5,0.65,0.31,0.08,,,91.5,,,Equilibrada
4zdz432Gru46BcVoaVtygF,Empty Room,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False,0.45,0.62,0.64,0.33,0.03,,,127.7,,,Equilibrada
39cmB3ZoTOLwOTq7tMNqKa,Hear Me Now,Desconhecido,Desconhecido,Electronic,50,Média,Não hit,False,0.81,0.51,0.42,0.25,0.05,,,124.1,,,Equilibrada
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),Desconhecido,Desconhecido,Electronic,50,Média,Não hit,False,0.43,0.93,0.84,0.21,0.14,,,132.1,,,Positiva
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),Desconhecido,Desconhecido,Electronic,50,Média,Não hit,False,0.78,0.69,0.72,0.18,0.19,,,127.5,,,Positiva
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,Desconhecido,Desconhecido,Electronic,50,Média,Não hit,False,0.58,0.89,0.51,0.05,0.09,,,112.8,,,Equilibrada
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),Desconhecido,Desconhecido,Electronic,50,Média,Não hit,False,0.77,0.8,0.41,0.33,0.16,,,111.7,,,Dançante e energética
6YUTL4dYpB9xZO5qExPf05,Summer,Desconhecido,Desconhecido,Electronic,50,Média,Não hit,False,0.66,0.86,0.54,0.3,0.04,,,116.8,,,Equilibrada
7fLzbEOBOae9lUnOwr7Tse,Memories (feat. Kid Cudi),Desconhecido,Desconhecido,Electronic,50,Média,Não hit,False,0.62,0.61,0.77,0.02,0.11,,,92.6,,,Positiva
1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,Desconhecido,Desconhecido,Electronic,50,Média,Não hit,False,0.65,0.89,0.48,0.36,0.05,,,98.7,,,Equilibrada
07nH4ifBxUB4lZcsf44Brn,Blame (feat. John Newman),Desconhecido,Desconhecido,Electronic,50,Média,Não hit,False,0.79,0.8,0.7,0.22,0.11,,,139.5,,,Dançante e energética
0OTO8ZF2YqFQVw9hnZylTd,"What Is Love - 7"" Mix",Desconhecido,Desconhecido,Electronic,50,Média,Não hit,False,0.59,0.74,0.68,0.18,0.14,,,122.7,,,Equilibrada
5fdNHVZHbWB1AaXk4RBGVD,Just the Two of Us,Desconhecido,Desconhecido,Jazz,50,Média,Não hit,False,0.79,0.79,0.44,0.31,0.08,,,141.5,,,Dançante e energética
4SpqtLElDsO6KGbd4ub96Z,Pela Luz dos Olhos Teus - Bonus Track,Desconhecido,Desconhecido,Jazz,50,Média,Não hit,False,0.42,0.7,0.8,0.19,0.12,,,94.7,,,Positiva
6Rqn2GFlmvmV4w9Ala0I1e,Feeling Good,Desconhecido,Desconhecido,Jazz,50,Média,Não hit,False,0.61,0.84,0.78,0.14,0.05,,,134.1,,,Positiva
4nwjvcUjV7cexhwA40Bh5i,Lover Girl,Desconhecido,Desconhecido,Jazz,50,Média,Não hit,False,0.6,0.78,0.32,0.13,0.04,,,110.5,,,Equilibrada
0eVnhQNFTRZXOIhHZNLX85,Dedicada a ela,Desconhecido,Desconhecido,Jazz,50,Média,Não hit,False,0.53,0.95,0.52,0.13,0.07,,,117.2,,,Equilibrada
08PdFBcXzpkn1cWNgmKqhn,Promise,Desconhecido,Desconhecido,Jazz,50,Média,Não hit,False,0.43,0.63,0.43,0.39,0.13,,,137.4,,,Equilibrada
0UqHzMvRQnaOXEPKgFVhxN,Madwoman,Desconhecido,Desconhecido,Jazz,50,Média,Não hit,False,0.45,0.57,0.67,0.39,0.03,,,139.9,,,Equilibrada
4KGGeE7RJsgLNZmnxGFlOj,Falling Behind,Desconhecido,Desconhecido,Jazz,50,Média,Não hit,False,0.43,0.84,0.34,0.11,0.06,,,100.7,,,Equilibrada
