track_id,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,duration_ms,duration_min,music_profile
20jbSiX29FDX4oQxBXyUEi,0.89,0.75,0.45,0.04,0.11,,,116.0,,,Dançante e energética
20dAJsyno9ZoBLJtqgQnUI,0.42,0.57,0.36,0.25,0.18,,,125.8,,,Equilibrada
68lbSrXDORS51pmyjZv712,0.9,0.71,0.64,0.12,0.2,,,127.0,,,Dançante e energética
4SjcIkVc4cvFgURD1EHxDM,0.62,0.63,0.58,0.05,0.07,,,116.3,,,Equilibrada
3bmpXHVie1GTy37OkXJ7Vc,0.52,0.67,0.75,0.04,0.19,,,102.4,,,Positiva
0HixceBFegrCY3GFBB7SlQ,0.75,0.55,0.63,0.17,0.17,,,103.8,,,Equilibrada
2rKkfc4VZ74FQDc1FF1Zo6,0.63,0.75,0.44,0.05,0.15,,,107.1,,,Equilibrada
0b61A7v9agI08BG21jJPQ9,0.81,0.7,0.35,0.36,0.16,,,96.7,,,Dançante e energética
4B4Q7zfd0aHcuhQBfCRnH5,0.83,0.53,0.4,0.08,0.19,,,126.6,,,Equilibrada
0KmrKOdScRDVYwWS8hkkdv,0.53,0.61,0.84,0.27,0.1,,,93.5,,,Positiva
60a0Rd6pjrkxjPbaKzXjfq,0.79,0.79,0.44,0.31,0.08,,,141.5,,,Dançante e energética
7MnT7msJZg3XBAS0OTfGrB,0.42,0.7,0.8,0.19,0.12,,,94.7,,,Positiva
0COqiPhxzoWICwFCS4eZcp,0.61,0.84,0.78,0.14,0.05,,,134.1,,,Positiva
70LcF31zb1H0PyJoS1Sx1r,0.6,0.78,0.32,0.13,0.04,,,110.5,,,Equilibrada
4CeeEOM32jQcH3eN9Q2dGj,0.53,0.95,0.52,0.13,0.07,,,117.2,,,Equilibrada
7snQQk1zcKl8gZ92AnueZW,0.43,0.63,0.43,0.39,0.13,,,137.4,,,Equilibrada
3nI0piSOxAik2RCpHGloB7,0.45,0.57,0.67,0.39,0.03,,,139.9,,,Equilibrada
2nLtzopw4rPReszdYBJU6h,0.43,0.84,0.34,0.11,0.06,,,100.7,,,Equilibrada
6Qyc6fS4DsZjB2mRW9DsQs,0.45,0.73,0.3,0.32,0.05,,,95.9,,,Equilibrada
1UvWx2hgpxlF7HPbwLSmIY,0.61,0.6,0.76,0.01,0.06,,,128.4,,,Positiva
315VRtbac3csaASW7Rmd5K,0.55,0.61,0.81,0.36,0.15,,,121.2,,,Positiva
6PFKsEDgy2GS2zAzpN3XPX,0.67,0.59,0.72,0.36,0.15,,,117.4,,,Positiva
609Hs2suvdhJEXdGF3k3Ai,0.62,0.86,0.76,0.1,0.19,,,93.2,,,Positiva
5jpPgLJpT9dTysQ3lMrTgb,0.54,0.64,0.69,0.29,0.19,,,123.4,,,Equilibrada
7e6f9Fk2S7K3juxtfbD245,0.58,0.69,0.8,0.11,0.08,,,94.2,,,Positiva
24yy8Bj0Q4IJe6nSknfdS2,0.53,0.91,0.76,0.26,0.2,,,141.7,,,Positiva
4hOrH49QTecnG4PziLWVG6,0.83,0.91,0.67,0.16,0.13,,,110.8,,,Dançante e energética
7dYvupcGyTOQIiMm3JQE8e,0.64,0.66,0.39,0.36,0.12,,,135.3,,,Equilibrada
3L5WgvTZ31I9nCcq7Mextr,0.68,0.5,0.65,0.31,0.08,,,91.5,,,Equilibrada
4zdz432Gru46BcVoaVtygF,0.45,0.62,0.64,0.33,0.03,,,127.7,,,Equilibrada
39cmB3ZoTOLwOTq7tMNqKa,0.81,0.51,0.42,0.25,0.05,,,124.1,,,Equilibrada
4uUG5RXrOk84mYEfFvj3cK,0.43,0.93,0.84,0.21,0.14,,,132.1,,,Positiva
0TDLuuLlV54CkRRUOahJb4,0.78,0.69,0.72,0.18,0.19,,,127.5,,,Positiva
2V65y3PX4DkRhy1djlxd9p,0.58,0.89,0.51,0.05,0.09,,,112.8,,,Equilibrada
7MmG8p0F9N3C4AXdK6o6Eb,0.77,0.8,0.41,0.33,0.16,,,111.7,,,Dançante e energética
6YUTL4dYpB9xZO5qExPf05,0.66,0.86,0.54,0.3,0.04,,,116.8,,,Equilibrada
7fLzbEOBOae9lUnOwr7Tse,0.62,0.61,0.77,0.02,0.11,,,92.6,,,Positiva
1gihuPhrLraKYrJMAEONyc,0.65,0.89,0.48,0.36,0.05,,,98.7,,,Equilibrada
