track_id,track_name,artists,main_artist,genre,popularity,popularity_level,is_hit,explicit
20jbSiX29FDX4oQxBXyUEi,hate that i made you love me,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False
20dAJsyno9ZoBLJtqgQnUI,Hooligan,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False
68lbSrXDORS51pmyjZv712,SWIM,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False
4SjcIkVc4cvFgURD1EHxDM,Eu Me Apaixonei,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False
3bmpXHVie1GTy37OkXJ7Vc,2.0,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False
0HixceBFegrCY3GFBB7SlQ,Saudade do Carai,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False
2rKkfc4VZ74FQDc1FF1Zo6,Body to Body,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False
0b61A7v9agI08BG21jJPQ9,they don’t know ’bout us,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False
4B4Q7zfd0aHcuhQBfCRnH5,NORMAL,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False
0KmrKOdScRDVYwWS8hkkdv,FYA,Desconhecido,Desconhecido,Pop,50,Média,Não hit,False
60a0Rd6pjrkxjPbaKzXjfq,In the End,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False
7MnT7msJZg3XBAS0OTfGrB,Tempo Perdido,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False
70LcF31zb1H0PyJoS1Sx1r,Creep,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False
4CeeEOM32jQcH3eN9Q2dGj,Smells Like Teen Spirit,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False
7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False
3nI0piSOxAik2RCpHGloB7,Só Os Loucos Sabem,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False
2nLtzopw4rPReszdYBJU6h,Numb,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False
6Qyc6fS4DsZjB2mRW9DsQs,Iris,Desconhecido,Desconhecido,Rock,50,Média,Não hit,False
1UvWx2hgpxlF7HPbwLSmIY,Anjos (Pra quem tem fé),Desconhecido,Desconhecido,Rock,50,Média,Não hit,False
315VRtbac3csaASW7Rmd5K,Leniam Leniamagu,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False
6PFKsEDgy2GS2zAzpN3XPX,All That I Feel,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False
609Hs2suvdhJEXdGF3k3Ai,Don Dada,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False
5jpPgLJpT9dTysQ3lMrTgb,Intro,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False
7e6f9Fk2S7K3juxtfbD245,Outro from Ben,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False
24yy8Bj0Q4IJe6nSknfdS2,Milky way,Desconhecido,Desconhecido,Hip-Hop,50,Média,Não hit,False
