track_id,track_name,artists,main_artist,genre,popularity,popularity_level,is_hit,explicit,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,duration_ms,duration_min,music_profile
5SuOikwiRyPMVoIQDJUgSV,Comedy,Gen Hoshino,Gen Hoshino,Acoustic,73,Alta,Hit,False,0.676,0.461,0.715,0.0322,0.143,1.01e-06,0.358,87.917,230666,3.8444333333333334,Positiva
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,Ben Woodward,Ben Woodward,Acoustic,55,Média,Não hit,False,0.42,0.166,0.267,0.924,0.0763,5.56e-06,0.101,77.489,149610,2.4935,Acústica
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,"Ingrid Michaelson,ZAYN",Ingrid Michaelson,Acoustic,57,Média,Não hit,False,0.438,0.359,0.12,0.21,0.0557,0.0,0.117,76.332,210826,3.5137666666666667,Equilibrada
6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,Kina Grannis,Kina Grannis,Acoustic,71,Alta,Hit,False,0.266,0.0596,0.143,0.905,0.0363,7.07e-05,0.132,181.74,201933,3.36555,Acústica
5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,Chord Overstreet,Acoustic,82,Alta,Hit,False,0.618,0.443,0.167,0.469,0.0526,0.0,0.0829,119.949,198853,3.314216666666667,Equilibrada
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Tyrone Wells,Tyrone Wells,Acoustic,58,Média,Não hit,False,0.688,0.481,0.666,0.289,0.105,0.0,0.189,98.017,214240,3.570666666666667,Equilibrada
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,"A Great Big World,Christina Aguilera",A Great Big World,Acoustic,74,Alta,Hit,False,0.407,0.147,0.0765,0.857,0.0355,2.89e-06,0.0913,141.284,229400,3.8233333333333333,Acústica
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,Jason Mraz,Acoustic,80,Alta,Hit,False,0.703,0.444,0.712,0.559,0.0417,0.0,0.0973,150.96,242946,4.0491,Positiva
0IktbUcnAGrvD03AWnz3Q8,Lucky,"Jason Mraz,Colbie Caillat",Jason Mraz,Acoustic,74,Alta,Hit,False,0.625,0.414,0.669,0.294,0.0369,0.0,0.151,130.088,189613,3.1602166666666665,Equilibrada
7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,Ross Copperman,Acoustic,56,Média,Não hit,False,0.442,0.632,0.196,0.426,0.0295,0.00419,0.0735,78.899,205594,3.4265666666666665,Equilibrada
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Zack Tabudlo,Zack Tabudlo,Acoustic,74,Alta,Hit,False,0.627,0.363,0.301,0.279,0.0291,0.0,0.0928,99.905,244800,4.08,Equilibrada
5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,Jason Mraz,Jason Mraz,Acoustic,69,Média,Não hit,False,0.483,0.303,0.139,0.694,0.0429,0.0,0.115,133.406,240165,4.00275,Acústica
4ptDJbJl35d7gQfeNteBwp,Solo,Dan Berk,Dan Berk,Acoustic,52,Média,Não hit,False,0.489,0.314,0.607,0.749,0.0331,0.0,0.113,124.234,198712,3.3118666666666665,Acústica
0X9MxHR1rTkEHDjp95F2OO,Bad Liar,Anna Hamilton,Anna Hamilton,Acoustic,62,Média,Não hit,False,0.691,0.234,0.209,0.777,0.0285,0.0,0.12,87.103,248448,4.1408,Acústica
4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,"Chord Overstreet,Deepend",Chord Overstreet,Acoustic,56,Média,Não hit,False,0.755,0.78,0.387,0.124,0.0327,2.83e-05,0.121,120.004,188133,3.13555,Dançante e energética
1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,Landon Pigg,Landon Pigg,Acoustic,58,Média,Não hit,False,0.489,0.561,0.238,0.2,0.0274,4.56e-05,0.179,83.457,244986,4.0831,Equilibrada
6xKeQgzfjixSUld14qUezm,ily (i love you baby),"Andrew Foy,Renee Foy",Andrew Foy,Acoustic,56,Média,Não hit,False,0.706,0.112,0.414,0.827,0.0391,4.03e-06,0.125,110.154,129750,2.1625,Acústica
4Yo0igmcoNyat1secaH0OD,At My Worst,"Andrew Foy,Renee Foy",Andrew Foy,Acoustic,54,Média,Não hit,False,0.795,0.0841,0.609,0.742,0.0461,1.17e-05,0.0853,91.803,169728,2.8288,Acústica
2qLMf6TuEC3ruGJg4SMMN6,Lucky,"Jason Mraz,Colbie Caillat",Jason Mraz,Acoustic,68,Média,Não hit,False,0.625,0.414,0.669,0.294,0.0369,0.0,0.151,130.088,189613,3.1602166666666665,Equilibrada
6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,"Boyce Avenue,Bea Miller",Boyce Avenue,Acoustic,67,Média,Não hit,False,0.717,0.32,0.322,0.83,0.0283,0.0,0.107,107.946,260186,4.336433333333333,Acústica
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,Jason Mraz,Acoustic,75,Alta,Hit,False,0.703,0.444,0.712,0.559,0.0417,0.0,0.0973,150.96,242946,4.0491,Positiva
210JCw2LbYD4YIs8GiZ9iP,Demons,"Boyce Avenue,Jennel Garcia",Boyce Avenue,Acoustic,63,Média,Não hit,False,0.678,0.351,0.569,0.747,0.0266,0.0,0.355,90.032,174174,2.9029,Acústica
5TvE3pk05pyFIGdSY9j4DJ,Say Something,"A Great Big World,Christina Aguilera",A Great Big World,Acoustic,70,Alta,Hit,False,0.407,0.147,0.0765,0.857,0.0355,2.89e-06,0.0913,141.284,229400,3.8233333333333333,Acústica
0BUuuEvNa5T4lMaewyiudB,93 Million Miles,Jason Mraz,Jason Mraz,Acoustic,0,Baixa,Não hit,False,0.572,0.454,0.515,0.477,0.0258,1.37e-05,0.0974,140.182,216386,3.6064333333333334,Equilibrada
3Hn3LfhrQOaKihdCibJsTs,Unlonely,Jason Mraz,Jason Mraz,Acoustic,0,Baixa,Não hit,False,0.796,0.667,0.754,0.381,0.0392,0.0,0.221,97.988,231266,3.854433333333333,Positiva
6D33wCKzWtNEgOovgeVJ7r,Bella Luna,Jason Mraz,Jason Mraz,Acoustic,1,Baixa,Não hit,False,0.755,0.454,0.33,0.757,0.0352,0.0,0.236,120.06,302346,5.0391,Acústica
5IfCZDRXZrqZSm8AwE44PG,Winter Wonderland,Jason Mraz,Jason Mraz,Acoustic,0,Baixa,Não hit,False,0.62,0.309,0.664,0.788,0.0495,0.0,0.146,145.363,131760,2.196,Acústica
0dzKBptH2P5j5a0MifBMwM,If It Kills Me,Jason Mraz,Jason Mraz,Acoustic,0,Baixa,Não hit,False,0.633,0.429,0.52,0.0444,0.0381,0.0,0.132,143.793,273653,4.560883333333333,Equilibrada
5QAMZTM5cmLg3fHX9ZbTZi,Winter Wonderland,Jason Mraz,Jason Mraz,Acoustic,0,Baixa,Não hit,False,0.62,0.309,0.664,0.788,0.0495,0.0,0.146,145.363,131760,2.196,Acústica
2qESE1ZeWly7I3YjyTXmXh,Winter Wonderland,Jason Mraz,Jason Mraz,Acoustic,0,Baixa,Não hit,False,0.62,0.309,0.664,0.788,0.0495,0.0,0.146,145.363,131760,2.196,Acústica
3EQV1ZHtHvq9OnVRYIdbg3,Winter Wonderland,Jason Mraz,Jason Mraz,Acoustic,0,Baixa,Não hit,False,0.62,0.309,0.664,0.788,0.0495,0.0,0.146,145.363,131760,2.196,Acústica
3ax0rfGb7exLtl02LL08U9,Winter Wonderland,Jason Mraz,Jason Mraz,Acoustic,0,Baixa,Não hit,False,0.62,0.309,0.664,0.788,0.0495,0.0,0.146,145.363,131760,2.196,Acústica
1m5LC29RE52Bxy7hxvpOlL,All I Want For Christmas Is A Real Good Tan,Chord Overstreet,Chord Overstreet,Acoustic,0,Baixa,Não hit,False,0.593,0.455,0.564,0.366,0.0388,0.0,0.0914,202.019,234186,3.9031,Equilibrada
3H36x7buZdQD4687VmFrwY,Party of One,"Brandi Carlile,Sam Smith",Brandi Carlile,Acoustic,0,Baixa,Não hit,False,0.296,0.206,0.202,0.782,0.0412,0.000225,0.0959,165.4,259558,4.325966666666667,Acústica
0xbMRcMFqxJq1Wa7tvWPtn,Party of One,"Brandi Carlile,Sam Smith",Brandi Carlile,Acoustic,0,Baixa,Não hit,False,0.296,0.206,0.202,0.782,0.0412,0.000225,0.0959,165.4,259558,4.325966666666667,Acústica
6h061f44HZPj1OXO2nA45d,Party of One,"Brandi Carlile,Sam Smith",Brandi Carlile,Acoustic,0,Baixa,Não hit,False,0.296,0.206,0.202,0.782,0.0412,0.000225,0.0959,165.4,259558,4.325966666666667,Acústica
